"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","B001_01","B001_02","B001_03","B001_04","B001_05","B002_01","B002_02","B002_03","B002_04","B002_05","B003_01","B003_02","B003_03","B003_04","B003_05","B004_01","B004_02","B004_03","B004_04","B004_05","B005_01","B005_02","B005_03","B005_04","B005_05","B006_01","B006_02","B006_03","B006_04","B006_05","B007_01","B007_02","B007_03","B007_04","B007_05","B008_01","B008_02","B008_03","B008_04","B008_05","B009_01","B009_02","B009_03","B009_04","B009_05","B010_01","B010_02","B010_03","B010_04","B010_05","B011_01","B011_02","B011_03","B011_04","B011_05","B012_01","B012_02","B012_03","B012_04","B012_05","B013_01","B013_02","B013_03","B013_04","B013_05","B014_01","B014_02","B014_03","B014_04","B014_05","B015_01","B015_02","B015_03","B015_04","B015_05","B016_01","B016_02","B016_03","B016_04","B016_05","B017_01","B017_02","B017_03","B017_04","B017_05","B018_01","B018_02","B018_03","B018_04","B018_05","B019_01","B019_02","B019_03","B019_04","B019_05","B020_01","B020_02","B020_03","B020_04","B020_05","B022_CP","B022x01","B022x02","B022x03","B022x04","B022x05","B022x06","B022x07","B022x08","B022x09","B022x10","B022x11","B022x12","B022x13","B022x14","B022x15","B022x16","B022x17","B022x18","B022x19","B022x20","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
"Interview-Nummer (fortlaufend)","Seriennummer (sofern verwendet)","Referenz (sofern im Link angegeben)","Fragebogen, der im Interview verwendet wurde","Interview-Modus","Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin)","0-Frage: 0-0.jpg","0-Frage: 0-1.jpg","0-Frage: 0-2.jpg","0-Frage: 0-3.jpg","0-Frage: 0-4.jpg","1-Frage: 1-0.jpg","1-Frage: 1-1.jpg","1-Frage: 1-2.jpg","1-Frage: 1-3.jpg","1-Frage: 1-4.jpg","2-Frage: 2-0.jpg","2-Frage: 2-1.jpg","2-Frage: 2-2.jpg","2-Frage: 2-3.jpg","2-Frage: 2-4.jpg","3-Frage: 3-0.jpg","3-Frage: 3-1.jpg","3-Frage: 3-2.jpg","3-Frage: 3-3.jpg","3-Frage: 3-4.jpg","4-Frage: 4-0.jpg","4-Frage: 4-1.jpg","4-Frage: 4-2.jpg","4-Frage: 4-3.jpg","4-Frage: 4-4.jpg","5-Frage: 5-0.jpg","5-Frage: 5-1.jpg","5-Frage: 5-2.jpg","5-Frage: 5-3.jpg","5-Frage: 5-4.jpg","6-Frage: 6-0.jpg","6-Frage: 6-1.jpg","6-Frage: 6-2.jpg","6-Frage: 6-3.jpg","6-Frage: 6-4.jpg","7-Frage: 7-0.jpg","7-Frage: 7-1.jpg","7-Frage: 7-2.jpg","7-Frage: 7-3.jpg","7-Frage: 7-4.jpg","8-Frage: 8-0.jpg","8-Frage: 8-1.jpg","8-Frage: 8-2.jpg","8-Frage: 8-3.jpg","8-Frage: 8-4.jpg","9-Frage: 9-0.jpg","9-Frage: 9-1.jpg","9-Frage: 9-2.jpg","9-Frage: 9-3_copy.jpg","9-Frage: 9-4.jpg","10-Frage: 10-0_Medium.png","10-Frage: 10-1_Medium.png","10-Frage: 10-2_Medium.png","10-Frage: 10-3_Medium.png","10-Frage: 10-4_Medium.png","11-Frage: 11-0.jpg","11-Frage: 11-1.jpg","11-Frage: 11-2.jpg","11-Frage: 11-3.jpg","11-Frage: 11-4.jpg","12-Frage: 12-0.jpg","12-Frage: 12-1.jpg","12-Frage: 12-2.jpg","12-Frage: 12-3.jpg","12-Frage: 12-4.jpg","13-Frage: 13-0.jpg","13-Frage: 13-1.jpg","13-Frage: 13-2.jpg","13-Frage: 13-3.jpg","13-Frage: 13-4.jpg","14-Frage: 14-0_Medium.png","14-Frage: 14-1.jpg","14-Frage: 14-2.jpg","14-Frage: 14-3.jpg","14-Frage: 14-4.jpg","15-Frage: 15-0.jpg","15-Frage: 15-1.jpg","15-Frage: 15-2.jpg","15-Frage: 15-3.jpg","15-Frage: 15-4.jpg","16-Frage: 16-0.jpg","16-Frage: 16-1.jpg","16-Frage: 16-2.jpg","16-Frage: 16-3.jpg","16-Frage: 16-4.jpg","17-Frage: 17-0.jpg","17-Frage: 17-1.jpg","17-Frage: 17-2.jpg","17-Frage: 17-3.jpg","17-Frage: 17-4.jpg","18-Frage: 18-0.jpg","18-Frage: 18-1.jpg","18-Frage: 18-2.jpg","18-Frage: 18-3.jpg","18-Frage: 18-4.jpg","19-Frage: 19-0.jpg","19-Frage: 19-1.jpg","19-Frage: 19-2.jpg","19-Frage: 19-3.jpg","19-Frage: 19-4.jpg","ZG: Vollständige Leerungen der Urne bisher","ZG: Gezogener Code (1)","ZG: Gezogener Code (2)","ZG: Gezogener Code (3)","ZG: Gezogener Code (4)","ZG: Gezogener Code (5)","ZG: Gezogener Code (6)","ZG: Gezogener Code (7)","ZG: Gezogener Code (8)","ZG: Gezogener Code (9)","ZG: Gezogener Code (10)","ZG: Gezogener Code (11)","ZG: Gezogener Code (12)","ZG: Gezogener Code (13)","ZG: Gezogener Code (14)","ZG: Gezogener Code (15)","ZG: Gezogener Code (16)","ZG: Gezogener Code (17)","ZG: Gezogener Code (18)","ZG: Gezogener Code (19)","ZG: Gezogener Code (20)","Wurde die Befragung abgeschlossen (letzte Seite erreicht)?","Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?","Seite, die der Teilnehmer zuletzt bearbeitet hat","Letzte Seite, die im Fragebogen bearbeitet wurde","Anteil fehlender Antworten in Prozent","Anteil fehlender Antworten (gewichtet nach Relevanz)","Maluspunkte für schnelles Ausfüllen","Maluspunkte für schnelles Ausfüllen"
59,,,"final","interview",2022-06-23 11:50:35,1,4,2,3,5,4,2,3,1,5,5,3,2,1,4,2,3,5,4,1,5,1,4,3,2,3,5,1,2,4,1,4,5,2,3,5,2,3,4,1,1,2,4,5,3,3,5,4,1,2,5,2,1,3,4,3,2,4,5,1,1,4,5,3,2,5,2,4,1,3,4,3,2,5,1,5,1,2,3,4,4,2,1,5,3,4,2,3,5,1,3,2,4,1,5,4,2,5,3,1,15,9,8,11,6,10,16,5,1,13,20,17,12,19,15,4,7,3,2,18,14,1,0,2,2,0,0,1.26,25
68,,,"final","interview",2022-06-28 14:03:06,4,1,5,3,2,3,1,2,4,5,3,5,4,2,1,2,4,3,5,1,4,2,5,3,1,3,4,5,2,1,5,3,2,1,4,1,4,3,5,2,1,3,5,2,4,5,4,3,1,2,5,1,4,3,2,2,3,1,4,5,4,3,2,1,5,5,2,1,4,3,1,3,2,5,4,4,1,5,2,3,5,2,4,3,1,2,5,4,1,3,1,5,3,2,4,1,4,3,5,2,21,8,13,14,2,11,10,5,7,17,20,3,4,12,15,6,9,18,1,19,16,1,0,2,2,0,0,0.66,0
70,,,"final","interview",2022-07-04 14:07:53,3,4,5,1,2,2,4,1,5,3,1,4,3,2,5,4,3,2,5,1,2,3,4,1,5,5,3,1,2,4,2,3,4,1,5,4,1,2,3,5,5,4,1,3,2,4,1,5,2,3,5,4,2,1,3,2,5,1,3,4,5,4,2,1,3,5,2,1,3,4,5,2,3,4,1,2,1,3,4,5,4,3,1,2,5,5,4,2,1,3,3,5,1,2,4,3,4,5,2,1,23,8,17,3,7,9,14,18,19,6,12,5,1,15,10,20,16,11,4,2,13,1,0,2,2,0,0,0.87,8
75,,,"final","interview",2022-07-04 16:26:49,4,3,5,1,2,5,1,2,3,4,3,1,5,4,2,4,3,2,1,5,1,3,4,2,5,2,5,1,4,3,5,4,2,1,3,5,3,4,2,1,1,4,5,2,3,3,5,1,2,4,2,5,1,4,3,4,3,2,5,1,4,5,1,2,3,2,3,4,5,1,5,2,4,1,3,2,5,1,3,4,3,2,5,4,1,2,4,3,5,1,2,5,4,1,3,1,2,3,5,4,25,15,8,3,2,9,12,6,17,14,4,11,1,5,13,16,19,7,18,10,20,1,0,2,2,0,0,0.42,0
76,,,"final","interview",2022-07-04 16:34:24,4,1,5,2,3,2,5,1,4,3,4,1,3,2,5,3,2,4,5,1,4,2,5,1,3,1,5,3,4,2,2,5,1,3,4,4,2,5,3,1,1,3,2,5,4,5,3,4,1,2,4,3,2,1,5,3,2,4,1,5,4,2,5,1,3,5,2,3,4,1,2,3,1,5,4,4,2,5,3,1,2,4,3,1,5,1,5,3,2,4,2,1,5,4,3,5,4,3,1,2,26,8,17,9,15,12,16,19,20,18,11,1,2,13,5,14,7,6,3,10,4,1,0,2,2,0,0,0.41,0
78,,,"final","interview",2022-07-04 17:00:34,2,1,5,3,4,4,5,2,1,3,2,5,4,3,1,4,2,1,5,3,4,2,5,1,3,4,5,2,3,1,1,4,3,2,5,4,2,5,3,1,1,2,5,3,4,4,5,2,3,1,4,3,1,2,5,2,4,1,5,3,1,4,5,2,3,5,3,1,2,4,5,1,4,2,3,2,4,5,3,1,4,5,1,3,2,3,5,4,1,2,2,1,4,5,3,5,1,3,4,2,28,15,7,14,8,10,11,19,6,16,13,3,2,17,18,5,9,20,1,12,4,1,0,2,2,0,0,0.7,8
80,,,"final","interview",2022-07-04 17:44:38,1,3,5,2,4,4,3,2,1,5,5,2,1,4,3,4,2,3,5,1,4,5,1,3,2,5,3,1,2,4,4,5,3,2,1,2,4,3,5,1,1,4,2,3,5,5,4,2,3,1,2,3,1,5,4,5,2,1,3,4,2,3,1,4,5,1,3,2,5,4,4,1,3,5,2,1,3,5,4,2,1,2,5,4,3,5,4,1,3,2,2,4,5,1,3,5,3,4,1,2,30,9,4,19,15,18,3,6,10,17,16,12,5,14,8,7,11,2,13,20,1,1,0,2,2,0,0,0.79,0
86,,,"final","interview",2022-07-04 18:10:28,4,1,3,5,2,1,2,3,4,5,5,2,4,1,3,4,3,2,5,1,2,3,5,1,4,2,3,4,5,1,5,3,2,1,4,3,4,2,1,5,3,5,1,4,2,2,1,4,3,5,5,2,1,4,3,3,1,5,4,2,2,4,3,5,1,3,2,5,1,4,2,1,5,4,3,5,2,4,1,3,4,3,1,5,2,3,5,2,1,4,4,2,1,5,3,3,2,4,1,5,32,3,2,19,6,15,7,20,12,5,8,9,18,10,16,14,17,11,1,4,13,1,0,2,2,0,0,2.71,110
89,,,"final","interview",2022-07-04 19:05:20,4,3,5,2,1,4,1,5,3,2,3,2,1,4,5,5,4,2,3,1,3,2,1,4,5,5,2,4,1,3,1,5,3,2,4,5,3,4,1,2,1,3,4,2,5,5,4,1,2,3,4,3,5,1,2,1,2,4,5,3,4,3,1,5,2,1,2,3,5,4,3,5,2,1,4,3,4,5,2,1,4,3,1,5,2,5,3,4,2,1,3,1,5,4,2,5,2,1,3,4,35,19,1,6,8,7,15,4,16,12,20,10,2,14,17,3,9,18,5,13,11,1,0,2,2,0,0,0.72,6
95,,,"final","interview",2022-07-04 21:46:43,4,2,5,1,3,5,1,2,4,3,1,4,5,3,2,3,1,5,4,2,3,2,5,1,4,5,3,2,1,4,5,3,1,2,4,1,5,2,4,3,2,4,1,3,5,3,4,1,2,5,3,4,1,2,5,1,5,3,2,4,3,1,5,4,2,4,5,1,2,3,1,4,5,3,2,3,2,5,4,1,1,2,3,4,5,4,5,3,2,1,5,4,3,1,2,1,5,4,2,3,38,14,10,4,2,3,18,1,7,16,8,15,11,12,19,20,13,9,6,5,17,1,0,2,2,0,0,3,191
96,,,"final","interview",2022-07-04 21:57:59,5,1,3,4,2,5,3,1,2,4,1,3,4,2,5,2,3,4,1,5,2,4,5,1,3,1,2,3,4,5,3,1,4,2,5,3,4,5,2,1,1,4,2,5,3,5,2,4,3,1,5,3,4,1,2,2,4,1,5,3,1,4,2,5,3,2,1,3,4,5,1,2,5,3,4,1,3,5,2,4,2,1,4,5,3,3,2,5,4,1,2,4,1,5,3,3,1,4,2,5,39,10,2,5,20,3,6,4,18,19,16,12,8,7,17,13,9,1,14,11,15,1,0,2,2,0,0,1.09,4
97,,,"final","interview",2022-07-05 00:08:11,5,3,1,4,2,1,3,2,5,4,4,2,1,5,3,5,1,2,3,4,3,4,5,1,2,3,5,1,2,4,3,4,1,5,2,3,1,4,5,2,1,4,5,2,3,5,4,3,1,2,3,1,4,2,5,3,2,1,4,5,5,3,1,2,4,5,1,3,2,4,4,3,5,1,2,5,4,3,2,1,3,4,5,1,2,3,4,5,1,2,5,3,2,1,4,1,2,4,5,3,40,11,4,14,7,15,6,10,18,5,19,8,17,13,3,9,16,1,12,20,2,1,0,2,2,0,0,0.6,0
98,,,"final","interview",2022-07-05 00:51:57,3,1,5,4,2,1,5,2,3,4,4,1,3,2,5,3,4,5,1,2,2,4,1,3,5,4,2,3,5,1,1,3,2,4,5,3,1,2,4,5,5,4,3,2,1,1,4,2,5,3,5,2,4,1,3,4,3,5,1,2,1,5,4,2,3,4,3,5,1,2,4,2,1,5,3,1,4,5,3,2,4,2,3,5,1,4,5,2,1,3,1,4,2,5,3,2,5,4,1,3,41,6,5,4,7,18,14,8,15,10,12,13,16,20,17,9,3,11,2,1,19,1,0,2,2,0,0,2.5,138
100,,,"final","interview",2022-07-05 10:30:30,5,3,4,2,1,3,2,1,4,5,5,3,2,4,1,2,3,5,4,1,5,2,4,3,1,1,4,5,3,2,1,3,5,4,2,4,1,5,3,2,1,4,3,5,2,2,3,1,5,4,1,3,4,5,2,5,2,1,4,3,1,4,3,2,5,1,2,4,5,3,2,3,4,1,5,3,2,5,4,1,3,5,1,4,2,2,5,3,1,4,2,4,1,5,3,2,5,4,3,1,42,18,12,2,17,11,10,19,8,1,15,14,6,13,4,7,3,5,9,16,20,1,0,2,2,0,0,1.7,35
